area,name,taxable_income_million_yen,income_taxpayers,fiscal_year
13122,葛飾区,876802.0,235971.0,2022
13123,江戸川区,1393309.0,354336.0,2022
13201,八王子市,1006075.0,271860.0,2022
13202,立川市,380664.0,94114.0,2022
13203,武蔵野市,455965.0,81143.0,2022
13204,三鷹市,481033.0,100875.0,2022
13205,青梅市,210024.0,63580.0,2022
13206,府中市,549480.0,134564.0,2022
13207,昭島市,206262.0,57142.0,2022
13208,調布市,562658.0,126736.0,2022
13209,町田市,839147.0,206414.0,2022
13210,小金井市,299133.0,66288.0,2022
13211,小平市,392030.0,95862.0,2022
13212,日野市,372231.0,96071.0,2022
13213,東村山市,271462.0,73873.0,2022
13214,国分寺市,313041.0,67981.0,2022
13215,国立市,184574.0,39532.0,2022
13218,福生市,94293.0,28724.0,2022
13219,狛江市,183066.0,43839.0,2022
13220,東大和市,149773.0,41130.0,2022
13221,清瀬市,129507.0,35483.0,2022
13222,東久留米市,212552.0,56383.0,2022
13223,武蔵村山市,108135.0,33111.0,2022
13224,多摩市,282344.0,73612.0,2022
13225,稲城市,198318.0,46750.0,2022
13227,羽村市,96682.0,27643.0,2022
13228,あきる野市,129843.0,38142.0,2022
13229,西東京市,424464.0,103826.0,2022
13303,瑞穂町,50707.0,15380.0,2022
13305,日の出町,23581.0,7431.0,2022
13307,檜原村,2479.0,857.0,2022
13308,奥多摩町,5853.0,1987.0,2022
13361,大島町,10529.0,3266.0,2022
13362,利島村,637.0,191.0,2022
13363,新島村,3754.0,1132.0,2022
13364,神津島村,2758.0,835.0,2022
13381,三宅村,4338.0,1207.0,2022
13382,御蔵島村,616.0,172.0,2022
13401,八丈町,10327.0,3141.0,2022
13402,青ヶ島村,444.0,112.0,2022
13421,小笠原村,7418.0,1757.0,2022
14000,神奈川県,19038642.0,4701531.0,2022
14100,横浜市,8272120.0,1926958.0,2022
14101,鶴見区,,,2022
14102,神奈川区,,,2022
14103,西区,,,2022
14104,中区,,,2022
14105,南区,,,2022
14106,保土ケ谷区,,,2022
14107,磯子区,,,2022
14108,金沢区,,,2022
14109,港北区,,,2022
14110,戸塚区,,,2022
